Compound;Name;Gene Name;AOP;AOP Name;Event;Event Name;Event Class;AC50;logAC50;Intended Target Family
Dieldrin; TOX21_RT_HEK293_FLO_40hr_viability;-;-;;-;;;38.6;1.59;cell cycle
Dieldrin; APR_HepG2_OxidativeStress_72h_up;-;-;;-;;;39.4;1.60;cell cycle
Dieldrin; TOX21_AR_BLA_Antagonist_viability;-;-;;-;;;39.6;1.60;cell cycle
Dieldrin; TOX21_RT_HEK293_GLO_16hr_viability;-;-;;-;;;39.7;1.60;cell cycle
Dieldrin; OT_ER_ERbERb_1440;ESR2;-;;-;;;40.0;1.60;nuclear receptor
Dieldrin; TOX21_RT_HEK293_GLO_08hr_viability;-;-;;-;;;40.3;1.61;cell cycle
Dieldrin; ACEA_AR_agonist_AUC_viability;-;-;;-;;;40.7;1.61;cell cycle
Dieldrin; NVS_ENZ_hDUSP3;DUSP3;-;;-;;;40.9;1.61;phosphatase
Dieldrin; TOX21_RT_HEPG2_GLO_24hr_ctrl_viability;-;-;;-;;;41.3;1.62;cell cycle
Dieldrin; TOX21_RT_HEPG2_GLO_08hr_ctrl_viability;-;-;;-;;;41.6;1.62;cell cycle
Dieldrin; TOX21_RT_HEK293_FLO_24hr_viability;-;-;;-;;;42.0;1.62;cell cycle
Dieldrin; TOX21_RT_HEPG2_GLO_16hr_ctrl_viability;-;-;;-;;;42.7;1.63;cell cycle
Dieldrin; TOX21_RT_HEK293_FLO_08hr_viability;-;-;;-;;;43.8;1.64;cell cycle
Dieldrin; TOX21_RT_HEK293_FLO_16hr_viability;-;-;;-;;;44.8;1.65;cell cycle
Dieldrin; ACEA_AR_antagonist_AUC_viability;-;-;;-;;;46.5;1.67;cell cycle
Endrin;NHEERL_ZF_144hpf_TERATOSCORE_up;-;-;;-;;;1.09e-2;-1.96;malformation
Endrin; NVS_GPCR_gANPA;Nppa;-;;-;;;0.222;-0.653;lyase
Endrin; ATG_ERE_CIS_up;ESR1;200;Estrogen receptor activation leading to breast cancer;1181;Activation, Estrogen receptor ;MIE ;0.272;-0.565;nuclear receptor
Endrin; ATG_DR5_CIS_up;RARB;-;;-;;;0.806;-9.38e-2;nuclear receptor
Endrin; ATG_PXRE_CIS_up;NR1I2;60;NR1I2 (Pregnane X Receptor, PXR) activation leading to hepatic steatosis;245;Activation, PXR/SXR ;MIE ;1.38;0.139;nuclear receptor
Endrin; ATG_RARb_TRANS_up;RARB;-;;-;;;1.61;0.206;nuclear receptor
Endrin; ATG_RARg_TRANS_up;RARG;-;;-;;;1.70;0.230;nuclear receptor
Endrin; CEETOX_H295R_OHPREG_dn;PGR;-;;-;;;1.70;0.231;steroid hormone
Endrin; ATG_PXR_TRANS_up;NR1I2;60;NR1I2 (Pregnane X Receptor, PXR) activation leading to hepatic steatosis;245;Activation, PXR/SXR ;MIE ;2.25;0.351;nuclear receptor
Endrin; ATG_VDRE_CIS_up;VDR;-;;-;;;2.42;0.384;nuclear receptor
Endrin; BSK_LPS_TNFa_up;TNF;-;;-;;;3.37;0.528;cytokine
Endrin; CEETOX_H295R_PROG_dn;PGR;-;;-;;;3.54;0.549;steroid hormone
Endrin; BSK_SAg_PBMCCytotoxicity_up;-;-;;-;;;4.20;0.623;cell cycle
Endrin; ATG_DR4_LXR_CIS_dn;NR1H3;58;NR1I3 (CAR) suppression leading to hepatic steatosis;167;Activation, LXR ;MIE ;4.31;0.634;nuclear receptor
Endrin; BSK_4H_MCP1_down;CCL2;-;;-;;;4.33;0.637;cytokine
Endrin; ATG_TCF_b_cat_CIS_dn;TCF7;-;;-;;;4.50;0.653;dna binding
Endrin; BSK_hDFCGF_Proliferation_down;-;-;;-;;;4.63;0.665;cell cycle
Endrin; TOX21_TSHR_Agonist_ratio;TSHR;-;;-;;;4.89;0.689;gpcr
Endrin; OT_FXR_FXRSRC1_1440;NR1H4;61;NFE2L2/FXR activation leading to hepatic steatosis;479;Activation, NR1H4;MIE ;5.01;0.700;nuclear receptor
Endrin; NVS_ADME_hCYP2B6;CYP2B6;-;;-;;;5.08;0.705;cyp
Endrin; BSK_SAg_Eselectin_up;SELE;-;;-;;;5.22;0.717;cell adhesion molecules
Endrin; BSK_4H_Pselectin_down;SELP;-;;-;;;5.28;0.723;cell adhesion molecules
Endrin; BSK_LPS_SRB_down;-;-;;-;;;5.46;0.737;cell cycle
Endrin; BSK_3C_HLADR_down;HLA-DRA;-;;-;;;5.77;0.761;cell adhesion molecules
Endrin; BSK_BE3C_MMP1_up;MMP1;-;;-;;;5.95;0.775;protease
Endrin; BSK_SAg_SRB_down;-;-;;-;;;6.07;0.783;cell cycle
Endrin; BSK_LPS_CD40_down;CD40;-;;-;;;6.09;0.785;cytokine
Endrin; CEETOX_H295R_MTT_Cytotoxicity_up;-;-;;-;;;6.17;0.791;cell cycle
Endrin; CEETOX_H295R_MTT_Cytotoxicity_dn;-;-;;-;;;6.17;0.791;cell cycle
Endrin; BSK_SAg_Proliferation_down;-;-;;-;;;6.31;0.800;cell cycle
Endrin; BSK_3C_Proliferation_down;-;-;;-;;;6.89;0.838;cell cycle
Endrin; BSK_SAg_CD40_down;CD40;-;;-;;;6.91;0.839;cytokine
Endrin; BSK_3C_SRB_down;-;-;;-;;;7.67;0.885;cell cycle
Endrin; CEETOX_H295R_TESTO_dn;AR;187;Anticoagulant rodenticide inhibition of vitamin K epoxide reductase resulting coagulopathy and hemorrhage;1134;Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle vitamin K epoxide to vitamin K to form vitamin K hydroquinone;MIE ;7.86;0.896;steroid hormone
Endrin; BSK_CASM3C_TissueFactor_down;F3;-;;-;;;7.90;0.898;cytokine
Endrin; BSK_4H_SRB_down;-;-;;-;;;8.95;0.952;cell cycle
Endrin; CEETOX_H295R_CORTISOL_dn;NR3C1;66;Modulation of Adult Leydig Cell Function Subsequent Glucocorticoid Activation in the Fetal Testis;654;Decreased testosterone by the fetal Leydig cells, Activation by other glucocorticoid receptor agonists;MIE ;9.62;0.983;steroid hormone
Endrin; CEETOX_H295R_11DCORT_dn;NR3C1;66;Modulation of Adult Leydig Cell Function Subsequent Glucocorticoid Activation in the Fetal Testis;654;Decreased testosterone by the fetal Leydig cells, Activation by other glucocorticoid receptor agonists;MIE ;10.8;1.03;steroid hormone
Endrin; CEETOX_H295R_ANDR_dn;AR;187;Anticoagulant rodenticide inhibition of vitamin K epoxide reductase resulting coagulopathy and hemorrhage;1134;Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle vitamin K epoxide to vitamin K to form vitamin K hydroquinone;MIE ;11.2;1.05;steroid hormone
Endrin; ATG_ERa_TRANS_up;ESR1;200;Estrogen receptor activation leading to breast cancer;1181;Activation, Estrogen receptor ;MIE ;12.1;1.08;nuclear receptor
Endrin; Tanguay_ZF_120hpf_ActivityScore;-;-;;-;;;12.1;1.08;malformation
Endrin; OT_FXR_FXRSRC1_0480;NR1H4;61;NFE2L2/FXR activation leading to hepatic steatosis;479;Activation, NR1H4;MIE ;13.0;1.11;nuclear receptor
Endrin; NVS_GPCR_rSST;Sstr1;-;;-;;;13.2;1.12;gpcr
Endrin; BSK_CASM3C_Proliferation_down;-;-;;-;;;13.4;1.13;cell cycle
Endrin; TOX21_ERa_LUC_BG1_Agonist;ESR1;200;Estrogen receptor activation leading to breast cancer;1181;Activation, Estrogen receptor ;MIE ;16.2;1.21;nuclear receptor
Endrin; CEETOX_H295R_DOC_dn;NR3C1;66;Modulation of Adult Leydig Cell Function Subsequent Glucocorticoid Activation in the Fetal Testis;654;Decreased testosterone by the fetal Leydig cells, Activation by other glucocorticoid receptor agonists;MIE ;17.8;1.25;steroid hormone
Endrin; CEETOX_H295R_OHPROG_dn;PGR;-;;-;;;18.0;1.25;steroid hormone
Endrin; ACEA_AR_antagonist_AUC_viability;-;-;;-;;;18.2;1.26;cell cycle
Endrin; ACEA_AR_antagonist_80hr;AR;187;Anticoagulant rodenticide inhibition of vitamin K epoxide reductase resulting coagulopathy and hemorrhage;1134;Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle vitamin K epoxide to vitamin K to form vitamin K hydroquinone;MIE ;20.1;1.30;nuclear receptor
Endrin; TOX21_DT40_100;-;-;;-;;;21.4;1.33;cell cycle
Endrin; TOX21_TR_LUC_GH3_Antagonist;Thrb;-;;-;;;22.4;1.35;nuclear receptor
Endrin; ACEA_ER_80hr;ESR1;200;Estrogen receptor activation leading to breast cancer;1181;Activation, Estrogen receptor ;MIE ;22.9;1.36;nuclear receptor
Heptachlor;NHEERL_ZF_144hpf_TERATOSCORE_up;-;-;;-;;;3.36;0.527;malformation
Heptachlor; TOX21_TSHR_Agonist_ratio;TSHR;-;;-;;;3.93;0.595;gpcr
Heptachlor; BSK_hDFCGF_CollagenIII_down;COL3A1;-;;-;;;5.05;0.703;cell adhesion molecules
Heptachlor; BSK_3C_Proliferation_down;-;-;;-;;;5.73;0.758;cell cycle
Heptachlor; BSK_hDFCGF_VCAM1_down;VCAM1;-;;-;;;6.05;0.782;cell adhesion molecules
Heptachlor; BSK_hDFCGF_IP10_down;CXCL10;-;;-;;;6.38;0.805;cytokine
Heptachlor; BSK_hDFCGF_Proliferation_down;-;-;;-;;;6.81;0.833;cell cycle
Heptachlor; BSK_hDFCGF_MCSF_down;CSF1;-;;-;;;6.88;0.838;cytokine
Heptachlor; BSK_hDFCGF_PAI1_down;SERPINE1;-;;-;;;7.21;0.858;cytokine
Heptachlor; BSK_hDFCGF_TIMP1_down;TIMP1;-;;-;;;7.30;0.864;protease inhibitor
Heptachlor; BSK_hDFCGF_MIG_down;CXCL9;-;;-;;;8.25;0.916;cytokine
Heptachlor; ATG_PXRE_CIS_up;NR1I2;60;NR1I2 (Pregnane X Receptor, PXR) activation leading to hepatic steatosis;245;Activation, PXR/SXR ;MIE ;8.35;0.922;nuclear receptor
Heptachlor; BSK_SAg_Proliferation_down;-;-;;-;;;8.58;0.934;cell cycle
Heptachlor; BSK_hDFCGF_SRB_down;-;-;;-;;;8.66;0.938;cell cycle
Heptachlor; ATG_ERE_CIS_up;ESR1;200;Estrogen receptor activation leading to breast cancer;1181;Activation, Estrogen receptor ;MIE ;9.34;0.970;nuclear receptor
Heptachlor; BSK_SAg_PBMCCytotoxicity_down;-;-;;-;;;9.68;0.986;cell cycle
Heptachlor; BSK_hDFCGF_MMP1_down;MMP1;-;;-;;;10.1;1.00;protease
Heptachlor; BSK_hDFCGF_IL8_down;CXCL8;-;;-;;;10.1;1.00;cytokine
Heptachlor; BSK_KF3CT_MMP9_down;MMP9;-;;-;;;10.5;1.02;protease
Heptachlor; ATG_PXR_TRANS_up;NR1I2;60;NR1I2 (Pregnane X Receptor, PXR) activation leading to hepatic steatosis;245;Activation, PXR/SXR ;MIE ;10.6;1.02;nuclear receptor
Heptachlor; BSK_KF3CT_TGFb1_down;TGFB1;-;;-;;;10.7;1.03;growth factor
Heptachlor; BSK_KF3CT_IP10_down;CXCL10;-;;-;;;10.7;1.03;cytokine
Heptachlor; BSK_KF3CT_MCP1_down;CCL2;-;;-;;;11.0;1.04;cytokine
Heptachlor; BSK_KF3CT_IL1a_down;IL1A;-;;-;;;12.3;1.09;cytokine
Heptachlor; BSK_4H_Pselectin_down;SELP;-;;-;;;12.8;1.11;cell adhesion molecules
Heptachlor; BSK_KF3CT_ICAM1_down;ICAM1;-;;-;;;13.1;1.12;cell adhesion molecules
Heptachlor; BSK_3C_SRB_down;-;-;;-;;;13.1;1.12;cell cycle
Heptachlor; OT_NURR1_NURR1RXRa_0480;RXRA;-;;-;;;13.4;1.13;nuclear receptor
Heptachlor; BSK_3C_uPAR_down;PLAUR;-;;-;;;13.5;1.13;cytokine
Heptachlor; BSK_LPS_MCSF_down;CSF1;-;;-;;;13.9;1.14;cytokine
Heptachlor; BSK_LPS_IL1a_down;IL1A;-;;-;;;14.0;1.15;cytokine
Heptachlor; BSK_LPS_SRB_down;-;-;;-;;;14.0;1.15;cell cycle
Heptachlor; BSK_KF3CT_TIMP2_down;TIMP2;-;;-;;;14.4;1.16;protease inhibitor
Heptachlor; BSK_KF3CT_uPA_down;PLAU;-;;-;;;14.9;1.17;protease
Heptachlor; BSK_4H_Eotaxin3_down;CCL26;-;;-;;;15.1;1.18;cytokine
Heptachlor; BSK_CASM3C_SAA_down;SAA1;-;;-;;;15.3;1.18;cell adhesion molecules
Heptachlor; BSK_CASM3C_VCAM1_down;VCAM1;-;;-;;;15.5;1.19;cell adhesion molecules
Heptachlor; BSK_3C_ICAM1_down;ICAM1;-;;-;;;15.7;1.20;cell adhesion molecules
Heptachlor; BSK_LPS_Eselectin_down;SELE;-;;-;;;17.4;1.24;cell adhesion molecules
Heptachlor; ACEA_AR_antagonist_AUC_viability;-;-;;-;;;17.9;1.25;cell cycle
Heptachlor; BSK_3C_HLADR_down;HLA-DRA;-;;-;;;18.9;1.28;cell adhesion molecules
Heptachlor; ACEA_AR_antagonist_80hr;AR;187;Anticoagulant rodenticide inhibition of vitamin K epoxide reductase resulting coagulopathy and hemorrhage;1134;Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle vitamin K epoxide to vitamin K to form vitamin K hydroquinone;MIE ;18.9;1.28;nuclear receptor
Heptachlor; BSK_4H_MCP1_down;CCL2;-;;-;;;19.5;1.29;cytokine
Heptachlor; ACEA_AR_agonist_AUC_viability;-;-;;-;;;20.0;1.30;cell cycle
Heptachlor; BSK_BE3C_HLADR_down;HLA-DRA;-;;-;;;21.2;1.33;cell adhesion molecules
Heptachlor; BSK_CASM3C_IL6_down;IL6;-;;-;;;21.3;1.33;cytokine
Heptachlor; BSK_SAg_CD40_down;CD40;-;;-;;;21.3;1.33;cytokine
Heptachlor; APR_HepG2_CellCycleArrest_72h_dn;-;-;;-;;;21.5;1.33;cell cycle
Heptachlor; ATG_FXR_TRANS_up;NR1H4;61;NFE2L2/FXR activation leading to hepatic steatosis;479;Activation, NR1H4;MIE ;21.8;1.34;nuclear receptor
Heptachlor; OT_FXR_FXRSRC1_0480;NR1H4;61;NFE2L2/FXR activation leading to hepatic steatosis;479;Activation, NR1H4;MIE ;22.5;1.35;nuclear receptor
Heptachlor; BSK_3C_TissueFactor_down;F3;-;;-;;;22.6;1.35;cytokine
Heptachlor; BSK_BE3C_tPA_down;PLAT;-;;-;;;22.6;1.35;protease
Heptachlor; TOX21_PPARg_BLA_antagonist_viability;-;-;;-;;;23.2;1.36;cell cycle
Heptachlor; BSK_SAg_IL8_down;CXCL8;-;;-;;;23.3;1.37;cytokine
Heptachlor; BSK_4H_VEGFRII_down;KDR;43;Disruption of VEGFR Signaling Leading to Developmental Defects;305;Inhibition, VegfR2 ;MIE ;23.5;1.37;kinase
Heptachlor; BSK_3C_VCAM1_down;VCAM1;-;;-;;;23.7;1.38;cell adhesion molecules
Heptachlor; BSK_3C_Eselectin_down;SELE;-;;-;;;23.7;1.38;cell adhesion molecules
Heptachlor; BSK_CASM3C_TissueFactor_down;F3;-;;-;;;23.8;1.38;cytokine
Heptachlor; BSK_KF3CT_SRB_down;-;-;;-;;;23.9;1.38;cell cycle
Heptachlor; BSK_3C_MCP1_down;CCL2;-;;-;;;24.2;1.38;cytokine
Heptachlor; BSK_BE3C_IL1a_down;IL1A;-;;-;;;24.7;1.39;cytokine
Heptachlor; BSK_CASM3C_Proliferation_down;-;-;;-;;;24.8;1.39;cell cycle
Heptachlor; BSK_3C_IL8_down;CXCL8;-;;-;;;24.9;1.40;cytokine
Heptachlor; BSK_4H_SRB_down;-;-;;-;;;25.9;1.41;cell cycle
Heptachlor; TOX21_ARE_BLA_agonist_ratio;NFE2L2;-;;-;;;25.9;1.41;DNA binding
Heptachlor; BSK_CASM3C_uPAR_down;PLAUR;-;;-;;;26.3;1.42;cytokine
Heptachlor; BSK_CASM3C_MCP1_down;CCL2;-;;-;;;26.5;1.42;cytokine
Heptachlor; NIS_HEK293T_CTG_Cytotoxicity;-;-;;-;;;26.7;1.43;cell cycle
Heptachlor; ATG_IR1_CIS_dn;NR1H4;61;NFE2L2/FXR activation leading to hepatic steatosis;479;Activation, NR1H4;MIE ;27.0;1.43;nuclear receptor
Heptachlor; BSK_4H_VCAM1_down;VCAM1;-;;-;;;27.0;1.43;cell adhesion molecules
Heptachlor; BSK_BE3C_TGFb1_down;TGFB1;-;;-;;;27.0;1.43;growth factor
Heptachlor; BSK_SAg_SRB_down;-;-;;-;;;27.4;1.44;cell cycle
Heptachlor; BSK_4H_uPAR_down;PLAUR;-;;-;;;28.1;1.45;cytokine
Heptachlor; BSK_SAg_Eselectin_down;SELE;-;;-;;;28.3;1.45;cell adhesion molecules
Heptachlor; BSK_CASM3C_HLADR_down;HLA-DRA;-;;-;;;28.7;1.46;cell adhesion molecules
Heptachlor; BSK_LPS_VCAM1_down;VCAM1;-;;-;;;29.1;1.46;cell adhesion molecules
Heptachlor; TOX21_ESRE_BLA_viability;-;-;;-;;;29.5;1.47;cell cycle
Heptachlor; BSK_CASM3C_LDLR_down;LDLR;-;;-;;;29.7;1.47;misc protein
Heptachlor; BSK_SAg_CD38_down;CD38;-;;-;;;30.0;1.48;cytokine
Heptachlor; TOX21_AP1_BLA_Agonist_viability;-;-;;-;;;30.3;1.48;cell cycle
Heptachlor; BSK_SAg_MCP1_down;CCL2;-;;-;;;30.4;1.48;cytokine
Heptachlor; BSK_CASM3C_MCSF_down;CSF1;-;;-;;;30.6;1.49;cytokine
Heptachlor; BSK_CASM3C_IL8_down;CXCL8;-;;-;;;30.7;1.49;cytokine
Heptachlor; BSK_SAg_MIG_down;CXCL9;-;;-;;;30.8;1.49;cytokine
Heptachlor; TOX21_RXR_BLA_Agonist_viability;-;-;;-;;;31.4;1.50;cell cycle
Heptachlor; BSK_SAg_CD69_down;CD69;-;;-;;;31.7;1.50;cytokine
Heptachlor; ATG_ISRE_CIS_dn;IRF1;-;;-;;;32.0;1.50;dna binding
Heptachlor; BSK_CASM3C_SRB_down;-;-;;-;;;32.1;1.51;cell cycle
Heptachlor; BSK_3C_Vis_down;-;-;;-;;;32.6;1.51;cell morphology
Heptachlor; BSK_LPS_IL8_down;CXCL8;-;;-;;;32.7;1.51;cytokine
Heptachlor; TOX21_RT_HEK293_GLO_08hr_viability;-;-;;-;;;33.1;1.52;cell cycle
Heptachlor; BSK_LPS_MCP1_down;CCL2;-;;-;;;33.3;1.52;cytokine
Heptachlor; BSK_LPS_CD40_down;CD40;-;;-;;;33.3;1.52;cytokine
Heptachlor; TOX21_PPARd_BLA_Agonist_viability;-;-;;-;;;33.4;1.52;cell cycle
Heptachlor; BSK_3C_MIG_down;CXCL9;-;;-;;;33.4;1.52;cytokine
Heptachlor; BSK_LPS_TNFa_down;TNF;-;;-;;;33.7;1.53;cytokine
Heptachlor; TOX21_RT_HEK293_GLO_16hr_viability;-;-;;-;;;34.2;1.53;cell cycle
Heptachlor; TOX21_VDR_BLA_Agonist_viability;-;-;;-;;;34.6;1.54;cell cycle
Heptachlor; BSK_CASM3C_Thrombomodulin_down;THBD;-;;-;;;35.2;1.55;gpcr
Heptachlor; BSK_BE3C_IP10_down;CXCL10;-;;-;;;35.5;1.55;cytokine
Heptachlor; BSK_BE3C_PAI1_down;SERPINE1;-;;-;;;36.0;1.56;cytokine
Heptachlor; TOX21_TR_LUC_GH3_Antagonist;Thrb;-;;-;;;36.1;1.56;nuclear receptor
Heptachlor; TOX21_FXR_BLA_agonist_viability;-;-;;-;;;36.2;1.56;cell cycle
Heptachlor; TOX21_RT_HEK293_FLO_40hr_viability;-;-;;-;;;36.5;1.56;cell cycle
Heptachlor; TOX21_RT_HEK293_FLO_32hr_viability;-;-;;-;;;36.7;1.56;cell cycle
Heptachlor; TOX21_RT_HEK293_FLO_24hr_viability;-;-;;-;;;37.2;1.57;cell cycle
Heptachlor; APR_HepG2_CellCycleArrest_24h_dn;-;-;;-;;;37.2;1.57;cell cycle
Heptachlor; BSK_LPS_TissueFactor_down;F3;-;;-;;;37.4;1.57;cytokine
Heptachlor; TOX21_RT_HEK293_GLO_24hr_viability;-;-;;-;;;37.7;1.58;cell cycle
Heptachlor; TOX21_TR_LUC_GH3_Antagonist_viability;-;-;;-;;;37.8;1.58;cell cycle
Heptachlor; BSK_CASM3C_MIG_down;CXCL9;-;;-;;;37.9;1.58;cytokine
Heptachlor; TOX21_RT_HEPG2_FLO_16hr_ctrl_viability;-;-;;-;;;38.5;1.59;cell cycle
Heptachlor; TOX21_RT_HEK293_FLO_16hr_viability;-;-;;-;;;38.8;1.59;cell cycle
Heptachlor; TOX21_ERb_BLA_Antagonist_ratio;ESR2;-;;-;;;39.9;1.60;nuclear receptor
Heptachlor; TOX21_RT_HEK293_GLO_32hr_viability;-;-;;-;;;40.2;1.60;cell cycle
Heptachlor; BSK_BE3C_MIG_down;CXCL9;-;;-;;;40.3;1.61;cytokine
Heptachlor; TOX21_RT_HEK293_GLO_40hr_viability;-;-;;-;;;40.4;1.61;cell cycle
Heptachlor; ATG_DR4_LXR_CIS_dn;NR1H3;58;NR1I3 (CAR) suppression leading to hepatic steatosis;167;Activation, LXR ;MIE ;40.7;1.61;nuclear receptor
Heptachlor; TOX21_RT_HEPG2_GLO_08hr_ctrl_viability;-;-;;-;;;41.4;1.62;cell cycle
Heptachlor; TOX21_RT_HEPG2_FLO_32hr_ctrl_viability;-;-;;-;;;41.6;1.62;cell cycle
Heptachlor; TOX21_MMP_ratio_down;-;-;;-;;;41.9;1.62;cell morphology
Heptachlor; TOX21_RT_HEPG2_FLO_08hr_viability;-;-;-;-;-;-;42.0;1.62;cell cycle
Hexachlorobenzene;-;-;-;-;-;-;-;-;-;-
Mirex; BSK_LPS_PGE2_up;PTGER2;-;;-;;;1.14e-2;-1.94;gpcr
Mirex; BSK_SAg_SRB_down;-;-;;-;;;6.34e-2;-1.20;cell cycle
Mirex; BSK_LPS_TNFa_up;TNF;-;;-;;;8.76e-2;-1.06;cytokine
Toxaphene;TOX21_DT40_657;-;-;;-;;;3.40;0.531;cell cycle
Toxaphene; TOX21_ERa_BLA_Antagonist_ratio;ESR1;200;Estrogen receptor activation leading to breast cancer;1181;Activation, Estrogen receptor ;MIE ;4.23;0.626;nuclear receptor
Toxaphene; TOX21_MMP_ratio_down;-;-;;-;;;4.27;0.631;cell morphology
Toxaphene; TOX21_DT40;-;-;;-;;;4.74;0.676;cell cycle
Toxaphene; TOX21_DT40_100;-;-;;-;;;4.99;0.698;cell cycle
Toxaphene; TOX21_TR_LUC_GH3_Antagonist_viability;-;-;;-;;;5.43;0.735;cell cycle
Toxaphene; TOX21_ARE_BLA_agonist_ratio;NFE2L2;-;;-;;;10.3;1.01;DNA binding
Toxaphene; TOX21_p53_BLA_p1_viability;-;-;;-;;;10.5;1.02;cell cycle
Toxaphene; TOX21_GR_BLA_Antagonist_ratio;NR3C1;66;Modulation of Adult Leydig Cell Function Subsequent Glucocorticoid Activation in the Fetal Testis;654;Decreased testosterone by the fetal Leydig cells, Activation by other glucocorticoid receptor agonists;MIE ;10.9;1.04;nuclear receptor
Toxaphene; TOX21_p53_BLA_p3_viability;-;-;;-;;;11.0;1.04;cell cycle
Toxaphene; TOX21_SSH_3T3_GLI3_Antagonist;GLI3;-;;-;;;11.3;1.05;DNA binding
Toxaphene; TOX21_ERa_LUC_BG1_Agonist;ESR1;200;Estrogen receptor activation leading to breast cancer;1181;Activation, Estrogen receptor ;MIE ;12.5;1.10;nuclear receptor
Toxaphene; TOX21_p53_BLA_p2_viability;-;-;;-;;;13.0;1.12;cell cycle
Toxaphene; TOX21_TSHR_Agonist_ratio;TSHR;-;;-;;;14.4;1.16;gpcr
Toxaphene; TOX21_p53_BLA_p5_viability;-;-;;-;;;14.8;1.17;cell cycle
Toxaphene; TOX21_GR_BLA_Antagonist_viability;-;-;;-;;;15.1;1.18;cell cycle
Toxaphene; TOX21_p53_BLA_p4_viability;-;-;;-;;;16.1;1.21;cell cycle
Toxaphene; TOX21_p53_BLA_p1_ratio;TP53;-;;-;;;20.3;1.31;DNA binding
Toxaphene; TOX21_p53_BLA_p3_ratio;TP53;-;;-;;;20.4;1.31;DNA binding
Toxaphene; TOX21_TR_LUC_GH3_Antagonist;Thrb;-;;-;;;21.3;1.33;nuclear receptor
Toxaphene; TOX21_GR_BLA_Agonist_ratio;NR3C1;66;Modulation of Adult Leydig Cell Function Subsequent Glucocorticoid Activation in the Fetal Testis;654;Decreased testosterone by the fetal Leydig cells, Activation by other glucocorticoid receptor agonists;MIE ;21.7;1.34;nuclear receptor
Toxaphene; TOX21_CAR_Agonist;NR1I3;107;Constitutive androstane receptor activation leading to hepatocellular adenomas and carcinomas in the mouse and the rat;715;Activation, Constitutive androstane receptor;MIE ;21.8;1.34;nuclear receptor
Toxaphene; TOX21_AR_LUC_MDAKB2_Antagonist_Specificity;AR;187;Anticoagulant rodenticide inhibition of vitamin K epoxide reductase resulting coagulopathy and hemorrhage;1134;Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle vitamin K epoxide to vitamin K to form vitamin K hydroquinone;MIE ;22.4;1.35;nuclear receptor
Toxaphene; TOX21_p53_BLA_p2_ratio;TP53;-;;-;;;23.5;1.37;DNA binding
Toxaphene; TOX21_AP1_BLA_Agonist_ratio;FOS|JUN;-;;-;;;23.6;1.37;DNA binding
Toxaphene; TOX21_AR_BLA_Antagonist_ratio;AR;187;Anticoagulant rodenticide inhibition of vitamin K epoxide reductase resulting coagulopathy and hemorrhage;1134;Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle vitamin K epoxide to vitamin K to form vitamin K hydroquinone;MIE ;23.9;1.38;nuclear receptor
Toxaphene; TOX21_p53_BLA_p5_ratio;TP53;-;;-;;;24.2;1.38;DNA binding
Toxaphene; TOX21_RXR_BLA_Agonist_viability;-;-;;-;;;24.3;1.39;cell cycle
Toxaphene; TOX21_AP1_BLA_Agonist_viability;-;-;;-;;;24.8;1.39;cell cycle
Toxaphene; TOX21_ELG1_LUC_Agonist_viability;-;-;;-;;;24.9;1.40;cell cycle
Toxaphene; TOX21_p53_BLA_p4_ratio;TP53;-;;-;;;25.5;1.41;DNA binding
Toxaphene; TOX21_ERb_BLA_Antagonist_ratio;ESR2;-;;-;;;27.3;1.44;nuclear receptor
Toxaphene; TOX21_HRE_BLA_Agonist_viability;-;-;;-;;;27.4;1.44;cell cycle
Toxaphene; TOX21_VDR_BLA_Agonist_viability;-;-;;-;;;27.8;1.44;cell cycle
Toxaphene; TOX21_PPARd_BLA_Agonist_viability;-;-;;-;;;28.9;1.46;cell cycle
Toxaphene; TOX21_ERa_BLA_Antagonist_viability;-;-;;-;;;31.1;1.49;cell cycle
Toxaphene; TOX21_RT_HEK293_GLO_08hr_viability;-;-;;-;;;31.5;1.50;cell cycle
Toxaphene; TOX21_VDR_BLA_antagonist_viability;-;-;;-;;;31.8;1.50;cell cycle
Toxaphene; TOX21_AR_BLA_Antagonist_viability;-;-;;-;;;33.0;1.52;cell cycle
Toxaphene; TOX21_ERa_LUC_BG1_Antagonist_Specificity;ESR1;200;Estrogen receptor activation leading to breast cancer;1181;Activation, Estrogen receptor ;MIE ;33.4;1.52;nuclear receptor
Toxaphene; TOX21_ERa_BLA_Agonist_ratio;ESR1;200;Estrogen receptor activation leading to breast cancer;1181;Activation, Estrogen receptor ;MIE ;33.9;1.53;nuclear receptor
Toxaphene; TOX21_RORg_LUC_CHO_Antagonist;RORC;-;;-;;;34.9;1.54;nuclear receptor
Toxaphene; TOX21_RT_HEK293_FLO_40hr_viability;-;-;;-;;;34.9;1.54;cell cycle
Toxaphene; TOX21_HRE_BLA_Agonist_ratio;HIF1A;-;;-;;;35.5;1.55;DNA binding
